,City,Rank,Sunshine hours(City),Cost of a bottle of water(City)(£),Obesity levels(Country),Life expectancy(years) (Country),Pollution(Index score %) (City),Annual avg. hours worked,Happiness levels(City),Outdoor activities(City),Number of take out places(City),Cost of a monthly gym membership(City)(£),Avg Age (city),Population Size,PIB Per Capita,Life cost £(1 person) (city),Avg AnnualPrecipitation (mm),Avg Temperature,Infant mortality rate (IMR),Avg beer price (£),level of public security
0,Amsterdam,1,1858.0,1.92,20.4,81.2,30.93,1434.0,7.41,422,1048,34.9,43.7,87300,38370,2900,838,10.4,3.4,4.5,75.8
1,Sydney,2,2636.0,1.48,29.0,82.1,26.86,1712.0,7.13,406,1103,41.66,38.7,5367206,39890,3000,1218,17.3,2.8,6.0,57.3
2,Vienna,3,1884.0,1.94,20.1,81.0,17.33,1501.0,6.99,132,1008,25.74,43.9,1931593,33890,2500,594,10.6,2.9,3.5,80.8
3,Stockholm,4,1821.0,1.72,20.6,81.8,19.63,1452.0,7.37,129,598,37.31,40.7,975000,42940,2800,539,6.8,2.6,6.5,84.7
4,Copenhagen,5,1630.0,2.19,19.7,79.8,21.24,1380.0,7.53,154,523,32.53,39.5,794128,42350,2800,611,12.5,3.6,5.5,84.1
5,Helsinki,6,1662.0,1.6,22.2,80.4,13.08,1540.0,7.82,113,309,35.23,42.4,656229,33120,2400,661,8.6,2.3,6.0,84.7
6,Fukuoka,7,2769.0,0.78,4.3,83.2,50.780909090909084,1644.0,7.39,35,539,55.87,45.3,1532935,16600,1800,2080,23.5,1.9,4.0,77.8
7,Berlin,8,1626.0,1.55,22.3,80.6,39.41,1386.0,6.58,254,1729,26.11,42.7,3769495,29830,2100,570,12.5,3.3,3.5,65.4
8,Barcelona,9,2591.0,1.19,23.8,82.2,65.19,1686.0,6.38,585,2344,37.8,43.2,1662000,23120,2200,627,18.7,2.7,4.0,68.8
9,Vancouver,10,1938.0,1.08,29.4,81.7,24.26,1670.0,5.95,218,788,31.04,39.6,675218,38880,2700,1151,12.5,4.0,5.0,87.6
